               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.030128,            0.023702,          0.00084398,             0.81236,              0.7812,             0.75012,             0.33115,             0.04233,            0.033579,           0.0010143,           0.0045184,           0.0045184,           0.0045184
                  59,            0.030468,            0.023006,          0.00082229,             0.79353,             0.76984,             0.73714,             0.32379,            0.041741,             0.03135,          0.00090357,           0.0043809,           0.0043809,           0.0043809
                  60,            0.030092,            0.025036,          0.00081491,             0.77938,             0.77553,              0.7394,             0.33136,            0.042127,            0.034902,          0.00095325,           0.0042445,           0.0042445,           0.0042445
                  61,            0.030177,            0.024113,          0.00065002,             0.78926,             0.77647,              0.7375,             0.33117,            0.042533,            0.033751,          0.00092302,           0.0041094,           0.0041094,           0.0041094
                  62,            0.029829,             0.02275,          0.00072271,              0.7913,             0.76819,              0.7349,             0.32803,            0.043323,            0.035616,           0.0007919,           0.0039757,           0.0039757,           0.0039757
                  63,            0.029637,            0.023275,           0.0012023,             0.80801,             0.78972,             0.76212,             0.35189,            0.041343,            0.032638,          0.00094327,           0.0038434,           0.0038434,           0.0038434
                  64,            0.029434,            0.023487,          0.00074607,             0.76037,             0.76621,             0.70882,             0.32445,            0.042968,            0.035636,           0.0008398,           0.0037128,           0.0037128,           0.0037128
                  65,            0.029651,            0.024137,          0.00076529,             0.77218,              0.7535,             0.70441,             0.31647,            0.043675,             0.03531,           0.0007547,            0.003584,            0.003584,            0.003584
                  66,            0.029836,            0.023063,          0.00076306,             0.76016,              0.7482,             0.70101,             0.31491,            0.043923,             0.03658,          0.00077966,            0.003457,            0.003457,            0.003457
                  67,            0.029365,            0.024643,          0.00073881,             0.79707,             0.77925,             0.74969,               0.341,            0.041238,            0.033109,          0.00072414,           0.0033321,           0.0033321,           0.0033321
                  68,            0.028953,            0.024586,          0.00063084,             0.75047,             0.73693,             0.68914,             0.30857,            0.045348,              0.0377,          0.00085793,           0.0032093,           0.0032093,           0.0032093
                  69,            0.029248,            0.023886,           0.0005926,             0.76152,             0.77118,             0.69988,             0.32491,            0.044037,            0.035827,          0.00083806,           0.0030888,           0.0030888,           0.0030888
                  70,            0.028689,            0.022679,          0.00059083,             0.79832,             0.76673,              0.7364,             0.33241,            0.042644,            0.035152,          0.00072787,           0.0029706,           0.0029706,           0.0029706
                  71,            0.028334,            0.023388,          0.00059011,             0.78621,             0.76579,             0.72727,             0.32675,            0.043754,            0.035382,          0.00080581,            0.002855,            0.002855,            0.002855
                  72,             0.02841,            0.023689,           0.0007161,             0.78264,             0.79691,             0.74572,             0.32819,            0.042805,             0.03438,          0.00089681,           0.0027419,           0.0027419,           0.0027419
                  73,             0.02778,            0.022572,          0.00069144,             0.80554,             0.77508,             0.74818,             0.34421,            0.041671,            0.033892,           0.0008545,           0.0026316,           0.0026316,           0.0026316
                  74,            0.028591,            0.022809,           0.0006481,             0.77906,               0.778,             0.73645,              0.3275,            0.043321,            0.034846,          0.00083844,           0.0025241,           0.0025241,           0.0025241
                  75,            0.028015,            0.022487,          0.00055775,             0.75964,             0.75693,             0.71502,             0.33056,            0.043537,            0.035436,           0.0008086,           0.0024195,           0.0024195,           0.0024195
                  76,            0.028078,            0.021204,          0.00076518,             0.76146,             0.74419,             0.69678,              0.3135,            0.044117,             0.03653,           0.0010344,            0.002318,            0.002318,            0.002318
                  77,            0.028149,             0.02355,          0.00070295,             0.79215,             0.79557,             0.75027,             0.35036,            0.041424,             0.03439,          0.00091583,           0.0022196,           0.0022196,           0.0022196
                  78,            0.026884,            0.023985,          0.00061803,             0.76391,             0.76335,             0.71365,             0.33098,            0.043558,            0.036023,           0.0010181,           0.0021245,           0.0021245,           0.0021245
                  79,            0.027598,            0.023275,          0.00060658,             0.81223,             0.78485,             0.75641,             0.33346,            0.042536,            0.035082,          0.00098377,           0.0020327,           0.0020327,           0.0020327
